brand,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,spare_key,model_simple,car_age
Maruti,Manual,2018,CNG,6.906754778648554,87192.0,1st owner,12.832013750189885,8.898092345579153,Yes,Wagon,7
Tata,Manual,2022,Diesel,7.311886164077165,45834.0,1st owner,13.597355791941425,9.635608107380527,No,NEXON,3
Maruti,Manual,2022,Petrol,7.088408778675395,18015.0,1st owner,13.176853456625999,9.242226560838505,Yes,IGNIS,3
Tata,Manual,2020,Diesel,7.311886164077165,52276.0,1st owner,13.484226240787052,9.550092936718965,No,NEXON,5
Ford,Manual,2018,Petrol,7.085901464365611,87411.0,2nd owner,12.999067423500716,9.06357899058078,Yes,FREESTYLE,7
Maruti,Manual,2019,Petrol,7.088408778675395,47484.0,1st owner,12.973865689268807,9.038008749211576,No,IGNIS,6
Hyundai,Manual,2021,Petrol,7.088408778675395,19866.0,1st owner,13.547632419997361,9.612466578818832,Yes,VENUE,4
Maruti,Manual,2023,Petrol,6.906754778648554,21607.0,1st owner,13.054086677976365,9.11943049661634,No,Alto,2
Hyundai,Manual,2015,Petrol,7.088408778675395,62536.0,1st owner,12.647551406590285,8.71292443512011,No,Grand,10
MG,Manual,2019,Diesel,7.513709247839705,33306.0,1st owner,14.067047961384375,10.146918907547057,No,HECTOR,6
Hyundai,Automatic,2019,Diesel,7.367077059881012,67168.0,1st owner,13.851843451531353,10.023401649201466,Yes,Creta,6
Ford,Manual,2019,Diesel,7.312553498102598,27603.0,3rd owner,13.415034483903348,9.609452006112171,Yes,Ecosport,6
Maruti,Manual,2020,Petrol,7.088408778675395,36323.0,2nd owner,13.387801374649944,9.453286550586572,Yes,Baleno,5
Hyundai,Manual,2018,Petrol,7.513709247839705,43368.0,1st owner,14.018452218287162,10.056895099165441,No,Tucson,7
Hyundai,Manual,2019,Diesel,7.242082359256962,51919.0,2nd owner,13.610944619216111,9.782505655975346,No,Creta,6
